column,missing_fraction
Sunshine,0.48009762133919975
Evaporation,0.43166506256015397
Cloud3pm,0.40807094733947474
Cloud9am,0.3842155919153032
Pressure9am,0.10356799120032999
Pressure3pm,0.10331362573903478
WindDir9am,0.07263852605527293
WindGustDir,0.0709885879279527
WindGustSpeed,0.07055547916953114
Humidity3pm,0.0309844630826344
WindDir3pm,0.02906641000962464
Temp3pm,0.02481094458957789
RainTomorrow,0.02245978275814657
Rainfall,0.022418534304963565
RainToday,0.022418534304963565
WindSpeed3pm,0.02105046060772721
Humidity9am,0.018245565791282826
WindSpeed9am,0.01214766946239516
Temp9am,0.01214766946239516
MinTemp,0.010208992162793895
MaxTemp,0.008669049910628352
Date,0.0
Location,0.0
