run,algorithm,threshold,selection_metric,C,class_weight,cv_roc_auc,roc_auc,accuracy,precision,recall,f1
4,logistic_regression,0.5,roc_auc,0.3,balanced,,0.8539568855323201,0.7985277569392348,0.5046489259378005,0.7228473019517796,0.5943547625790616
2,logistic_regression,0.5,roc_auc,0.1,balanced,,0.8538683678264453,0.7957145536384096,0.49984167194426854,0.7249138920780712,0.5916971230437634
6,logistic_regression,0.5,roc_auc,1.0,balanced,,0.8534377385897491,0.7948237059264817,0.4983314794215795,0.7200918484500574,0.5890308039068369
8,logistic_regression,0.5,roc_auc,3.0,balanced,,0.8530850747418589,0.7980588897224306,0.5038585209003216,0.7196326061997704,0.5927186761229314
10,logistic_regression,0.5,roc_auc,10.0,balanced,,0.8528830113985993,0.7954801200300075,0.49944276389110015,0.7203214695752009,0.5898834148176006
9,logistic_regression,0.5,roc_auc,10.0,,,0.8526659583536573,0.8529163540885222,0.7291196388261851,0.4450057405281286,0.5526878653928419
7,logistic_regression,0.5,roc_auc,3.0,,,0.8526238167284395,0.8519317329332333,0.7180327868852459,0.4525832376578645,0.5552112676056338
5,logistic_regression,0.5,roc_auc,1.0,,,0.8524604722716562,0.8519786196549137,0.7178181818181818,0.45327210103329507,0.5556650246305419
3,logistic_regression,0.5,roc_auc,0.3,,,0.8523647438157842,0.8528225806451613,0.7243542435424354,0.4507462686567164,0.5556970983722576
1,logistic_regression,0.5,roc_auc,0.1,,,0.8512466311220435,0.849446736684171,0.7093704245973645,0.4450057405281286,0.546916890080429
